email,label
"Congratulations! You have won a free prize. Click here to claim your reward.",Phishing
"Your account has been selected for a special cash reward. Click the link now.",Phishing
"Urgent! Your bank account will be blocked. Verify your account immediately.",Phishing
"You have won a lottery. Send your details to receive your prize.",Phishing
"Click this link immediately to receive your free gift.",Phishing
"Your password has expired. Click here to verify your account.",Phishing
"Important security alert! Confirm your account information now.",Phishing
"You are the lucky winner. Claim your reward by clicking this URL.",Phishing
"Your payment failed. Click here immediately to update your banking information.",Phishing
"Final warning! Your account will be suspended unless you verify now.",Phishing
"Your computer has been selected for a free reward. Click here.",Phishing
"Urgent notification. Confirm your personal information to avoid account closure.",Phishing
"Hello Professor, I am submitting my assignment before the deadline.",Safe
"Your meeting is scheduled for tomorrow at 10 AM.",Safe
"Your Amazon order has been shipped and will arrive tomorrow.",Safe
"Please find attached the notes from today's class.",Safe
"Can we meet at the library after lunch?",Safe
"Your electricity bill for this month is available in your account.",Safe
"Thank you for registering for the workshop.",Safe
"The project meeting has been moved to Friday afternoon.",Safe
"Your appointment is confirmed for Monday at 11 AM.",Safe
"Please remember to bring your ID card tomorrow.",Safe
"Here are the documents you requested yesterday.",Safe
"Your monthly bank statement is now available.",Safe
